username,white_wins,black_wins
bidjack,0,1
bigbarbos,0,1
bigdimmer,0,1
biggordon333,0,1
bigiggye,0,1
bigkum,0,1
bigmonster4,0,1
bigpawn16,0,1
bigsukay,0,1
bihin_chee,0,1
bikku,0,1
bilrost,0,1
bilsdj14,0,1
bin16tan,0,1
binarycosmonaut,0,1
binboy,0,1
bionivek,0,1
birgul,0,1
bisekenov,0,1
bishopkerry01,0,1
bishopsacrifice,0,1
biv64,0,1
biyanivedant01,0,1
black_horse7,0,1
black_slonik,0,1
blackhat46,0,1
blackjack68,0,1
blackshelter,0,1
blacktal1899,0,1
blade119,0,1
blazingheart,0,1
blforzainter,0,1
blitz33,0,1
blitzerking,0,1
blood_knight,0,1
bloodbrother777,0,1
blue_beach,0,1
bo32,0,1
bobby-mitovsky,0,1
boby6849,0,1
boccia,0,1
bodhisatta7,0,1
bogdan2006,0,1
bogdankukic,0,1
bogeyman,0,1
bogkovrov,0,1
bohlool,0,1
bohne,0,1
boldnbald,0,1
boojmehrani,0,1
boratkazakhstan,0,1
borbapvb,0,1
borbor37,0,1
borchess,0,1
boringplayerzzzz,0,1
borisguiller,0,1
borja999,0,1
borntexan,0,1
boseayan,0,1
bossofcourse,0,1
bot92,0,1
boulogne-sur-mer,0,1
bozy,0,1
br_victorhugo,0,1
brain5,0,1
brainlinks,0,1
brainsurgery,0,1
branconi,0,1
brandoncordova,0,1
brasi,0,1
bratt,0,1
brelan,0,1
brianc444,0,1
brianzalcolica,0,1
briguy86,0,1
bringue,0,1
brisas,0,1
brookeb1995,0,1
brotback,0,1
brunotartiste,0,1
btanwin,0,1
bubybuby,0,1
buckeye64,0,1
budun67867,0,1
bugatsinho,0,1
buh0,0,1
bulldog63,0,1
buntar,0,1
buntownik,0,1
bunyamin4647,0,1
buraczek,0,1
burlak,0,1
burningspirit,0,1
burstoutlaughing,0,1
bus1408,0,1
buszmenik,0,1
butagaz-parov,0,1
buzz88,0,1
bwbbaker,0,1
bzhvarik,0,1
c4ue,0,1
cabrera1,0,1
cadmos16,0,1
caencan,0,1
caipivara,0,1
calamity6,0,1
cale83,0,1
calebalmao,0,1
caliber56,0,1
calso,0,1
caminante,0,1
campelovisc,0,1
can007,0,1
canadave,0,1
cancanyc,0,1
candylover,0,1
canid,0,1
capablancasgood,0,1
capitanio,0,1
capo19,0,1
capobruno,0,1
caradura2,0,1
carl2000,0,1
carlbauer,0,1
carlesgis,0,1
carlos-freire,0,1
carlos0575,0,1
carlos1700,0,1
carloshrc,0,1
carlosmagnussen,0,1
carlosortizgarrido,0,1
carluchossl,0,1
casparouf,0,1
cassioparov,0,1
castro830,0,1
casual173,0,1
catenaccio451,0,1
catmyledy,0,1
cause_complications,0,1
causita,0,1
cbarhale,0,1
ccg_tabiler,0,1
cdwood44,0,1
cedrus,0,1
cek-in,0,1
cel22,0,1
cem2237,0,1
cerebralassassin19,0,1
cesaringy,0,1
cescos,0,1
cesium,0,1
cesp62,0,1
cexercisse,0,1
cfazuero1,0,1
cfloyd,0,1
chad628,0,1
chaiiir,0,1
chambaru,0,1
chanakya,0,1
chandu007,0,1
chapson,0,1
charafovic,0,1
charles12345,0,1
charlie-z-said,0,1
chathurawdilshan,0,1
chciewoj,0,1
che33,0,1
checkersman,0,1
checkerssux,0,1
cheeky,0,1
chegovny,0,1
chelahov,0,1
chelsey_00,0,1
chenc2o2,0,1
chenglun1,0,1
ches_acc_cuandrej,0,1
chess-king-26,0,1
chess4life23,0,1
chess_move,0,1
chess_scout,0,1
chess_student1974,0,1
chessagent0,0,1
chessandgrace,0,1
chessatom,0,1
chessatwar_99,0,1
chessbaazer,0,1
chesscandance,0,1
chesschocolate,0,1
chesscoach,0,1
chessdaddy53,0,1
chessdroid,0,1
chessenthusiaste,0,1
chesserye,0,1
chessfantom,0,1
chessgpi,0,1
chessi96,0,1
chessie66,0,1
chessiyzi,0,1
chesskm8,0,1
